10/4/2024 10:57:30 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 10:58:04 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 10:58:04 AM: New hotkey registered: Modifiers: 1, Key: None
10/4/2024 10:58:46 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 10:58:46 AM: New hotkey registered: Modifiers: 2, Key: D
10/4/2024 10:59:39 AM: Hotkey registered successfully: Modifiers: 2, Key: D
10/4/2024 11:00:09 AM: Hotkey registered successfully: Modifiers: 2, Key: D
10/4/2024 11:00:23 AM: Hotkey registered successfully: Modifiers: 2, Key: D
10/4/2024 11:00:23 AM: New hotkey registered: Modifiers: 3, Key: D
10/4/2024 11:00:52 AM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 3:51:10 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 4:16:40 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 4:39:27 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 4:54:51 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 4:59:26 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 5:01:37 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 5:07:59 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 5:10:56 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/4/2024 5:11:23 PM: Failed to register hotkey: Modifiers: 3, Key: D
10/7/2024 1:01:05 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 1:01:05 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:34:50 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:34:50 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:35:15 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:35:15 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:37:42 PM: Hotkey registered successfully: Modifiers: 3, Key: D
10/7/2024 3:47:09 PM: Hotkey registered successfully: Modifiers: 3, Key: D
